id	name	desc	str1	str2	str3	str4	str5	str6	str7	str8	str9	str10	str11	str12	str13	str14	str15	str16
403847	The A. Forces	All Warrior-Type monsters you control gain 200 ATK for each face-up Warrior or Spellcaster-Type monster you control.																
423585	Summoner Monk	Cannot be Tributed. When this card is Normal or Flip Summoned: Change this card to Defense Position. Once per turn: You can discard 1 Spell Card; Special Summon 1 Level 4 monster from your Deck, but that monster cannot attack this turn.	Change to defense position	Special Summon														
423705	Gearfried the Iron Knight	When an Equip Card is equipped to this card, destroy the Equip Card.	Destroy equipped card															
425934	Goblin of Greed	As long as this card remains face-up on your side of the field, neither player can activate an effect by discarding from his/her hand.																
440556	Bahamut Shark	"2 Level 4 WATER monsters
Once per turn: You can detach 1 Xyz Material from this card; Special Summon 1 Rank 3 or lower WATER Xyz Monster from your Extra Deck. This card cannot attack for the rest of this turn."	Special Summon															
464362	Frightfur Tiger	"""Edge Imp Sabres"" + 1 or more ""Fluffal"" monsters
You can only control 1 ""Frightfur Tiger"". When this card is Fusion Summoned: You can target a number of cards on the field, up to the number of Fusion Materials used for its Fusion Summon; destroy them. All ""Frightfur"" monsters you control gain 300 ATK for each ""Fluffal"" and ""Frightfur"" monster you control."	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
473469	Driving Snow	You can only activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Spell or Trap Card on the field.																
487395	Water Spirit	This ancient water spirit haunts the glacial monoliths of Antarctica. It has the power to seep into the pores of any substance and chill it to the bone.																
494922	Superheavy Samurai Warlord Susanowo	"1 Machine-Type Tuner + 1 or more non-Tuner ""Superheavy Samurai"" monsters
This card can attack while in face-up Defense Position. If it does, apply its DEF for damage calculation. Once per turn, during either player's turn, if you have no Spell/Trap Cards in your Graveyard: You can target 1 Spell/Trap Card in your opponent's Graveyard; Set it to your side of the field, but banish it when it leaves the field."	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
525110	Cherry Inmato	"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon up to 2 ""Inmato"" monsters from your Deck. The monster(s) Special Summoned by this effect cannot be used as Synchro Material Monsters this turn."	Special Summon	Special Summon another monster?														
549481	Prevent Rat	This creature is shielded with a tough hide of hair and is excellent at defending itself.																
564541	Totem Dragon	This card can be treated as 2 Tributes for the Tribute Summon of a Dragon-Type monster. If this card is in your Graveyard during your Standby Phase and you control no monsters, you can Special Summon this card in Attack Position. You cannot activate this effect if there are any monsters in your Graveyard that are not Dragon-Type. If this card is Special Summoned with this effect, remove it from play when it is removed from the field.	Special Summon															
575512	PSY-Frame Circuit	"If a ""PSY-Frame"" monster(s) is Special Summoned to your side of the field (except during the Damage Step), you can: Immediately after this effect resolves, Synchro Summon 1 Synchro Monster, using only ""PSY-Frame"" monsters you control. At the start of the Damage Step, if a ""PSY-Frame"" monster you control battles an opponent's monster: You can discard 1 ""PSY-Frame"" monster; that monster you control gains ATK equal to the discarded monster's ATK until the end of this turn."	Synchro Summon	Increase ATK														
581014	Daigusto Emeral	"2 Level 4 monsters
Once per turn: You can detach 1 Xyz Material from this card, then activate 1 of these effects.
● Target 3 monsters in your Graveyard; shuffle all 3 into the Deck, then draw 1 card.
● Target 1 non-Effect Monster in your Graveyard; Special Summon that target."	Select effect	Target 3 monsters in your Graveyard; shuffle them into your Deck, then draw 1 card.	Target 1 non-Effect Monster in your Graveyard; Special Summon it.													
596051	Snake Fang	Decrease 1 face-up monster's DEF by 500 points until the end of this turn.																
598988	Malefic Rainbow Dragon	"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned, except by removing from play 1 ""Rainbow Dragon"" from your hand or Deck. There can only be 1 face-up ""Malefic"" monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card."																
601193	Virgil, Rock Star of the Burning Abyss	"1 Tuner + 1 or more non-Tuner monsters
You can only control 1 ""Virgil, Rock Star of the Burning Abyss"". Once per turn: You can discard 1 ""Burning Abyss"" card, then target 1 card your opponent controls or in their Graveyard; shuffle it into the Deck. If this card on the field is destroyed by battle or card effect and sent to the Graveyard: You can draw 1 card. You can only use this effect of ""Virgil, Rock Star of the Burning Abyss"" once per turn."	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
612115	Gladiator Beast Retiari	"When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster, you can banish 1 card from your opponent's Graveyard. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck except ""Gladiator Beast Retiari""."	Banish	Special Summon														
645794	Majespecter Toad	"Pendulum Scale = 2
[ Pendulum Effect ]
-n/a-
----------------------------------------
[ Monster Effect ]
When this card is Normal or Special Summoned: You can Set 1 ""Majespecter"" Spell/Trap Card directly from your Deck, but it cannot be activated this turn. You can only use this effect of ""Majespecter Toad"" once per turn. Cannot be targeted by, or destroyed by, an opponent's card effects."																
652362	Alien Ammonite	"When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower ""Alien"" monster from your Graveyard. Destroy it during the End Phase."	Special Summon															
674561	Dark Eruption	Target 1 DARK monster with 1500 or less ATK in your Graveyard; add that target to your hand.																
691925	Solar Recharge	"Discard 1 ""Lightsworn"" monster; draw 2 cards, then send the top 2 cards of your Deck to the Graveyard."																
698785	Thunder End Dragon	"2 Level 8 Normal Monsters
Once per turn: You can detach 1 Xyz Material from this card; destroy all other monsters on the field."	Destroy															
706925	Atlantean Marksman	"When this card inflicts Battle Damage to your opponent: You can Special Summon 1 Level 4 or lower Sea Serpent-Type ""Atlantean"" monster, except ""Atlantean Marksman"", from your Deck. When this card is sent to the Graveyard to activate a WATER monster's effect: Target 1 Set card your opponent controls; destroy that target."	Special Summon	Destroy														
712559	Amazoness Village	"All ""Amazoness"" monsters gain 200 ATK. Once per turn, when an ""Amazoness"" monster is destroyed by battle or by a card effect, and is sent to the Graveyard, you can Special Summon 1 ""Amazoness"" monster from your Deck with a Level equal to or lower than that of the destroyed ""Amazoness""."	Special Summon															
732302	Temple of Skulls	A mysterious temple of skulls and bones that pulls in unsuspecting enemies.																
734741	Rubic, Malebranche of the Burning Abyss	"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. Cannot be used as a Synchro Material, except for the Synchro Summon of a ""Burning Abyss"" Synchro Monster. If you control no Spell/Trap Cards: You can Special Summon this card from your hand. You can only use this effect of ""Rubic, Malebranche of the Burning Abyss"" once per turn."	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
756652	Doron	This monster splits in two and attacks from opposite sides.																
759393	Hiita the Fire Charmer	FLIP: Take control of 1 FIRE monster on your opponent's side of the field for as long as this card remains face-up on the field.	Take control of 1 FIRE monster on your opponent's side of the field															
770365	Empress of Prophecy	"2 Level 5 Spellcaster-Type monsters
This card gains 300 ATK for each Xyz Material attached to a monster you control. Once per turn: You can detach 1 Xyz Material from this card; shuffle your Deck, then reveal the top 5 cards of your Deck, and destroy monsters on the field up to the number of ""Spellbook"" cards revealed, then return the revealed cards to the top of the Deck in any order."	-	Destroy a monster on the field?														
799183	Super Soldier Shield	"When a Spell/Trap Card, or monster effect, is activated that targets a monster(s) on the field, while you control a ""Black Luster Soldier"" monster: Negate the activation, and if you do, destroy it. If this card is in your Graveyard: You can remove 1 Spell Counter from your side of the field; Set this card from your Graveyard, but banish it when it leaves the field."	Negate effect	Set														
811734	D/D/D Contract Change	"When an opponent's monster declares an attack: Activate 1 of these effects.
● Banish 1 ""D/D/D"" monster from your Graveyard; the attacking monster loses ATK equal to the banished monster's ATK.
● Add 1 Level 4 or lower ""D/D"" Pendulum Monster from your Deck to your hand."	"Banish ""D/D/D"" monster to reduce ATK"	"Search ""D/D"" Pendulum Monster"														
847915	Number Wall	"Activate only if you control a ""Number"" monster. ""Number"" monsters on the field cannot be destroyed by card effects, and cannot be destroyed by battle except with another ""Number"" monster. When a ""Number"" monster you control is destroyed, destroy this card."																
876330	Dragunity Arma Mystletainn	"You can Special Summon this card from your hand by sending 1 face-up ""Dragunity"" monster you control to the Graveyard. When this card is Normal or Special Summoned from the hand, you can select 1 Dragon-Type ""Dragunity"" monster in your Graveyard, and equip it to this card."	Equip															
900787	Dragunity Knight - Gae Bulg	"1 Dragon-Type Tuner + 1 or more non-Tuner Winged Beast-Type monsters 
If this card attacks or is attacked, during the Damage Step you can banish 1 (only) Winged Beast-Type monster from your Graveyard, to have this card gain the ATK of that monster until the End Phase."	Gain attack															
904185	Vertical Landing	"Tribute any number of WIND monsters, except Tokens; Special Summon any number of ""Mecha Phantom Beast Tokens"" (Machine-Type/WIND/Level 3/ATK 0/DEF 0), up to the number of monsters Tributed. You can only activate 1 ""Vertical Landing"" per turn."																
904186	Mecha Phantom Beast Token	"Summoned by the effect of ""Vertical Landing"""																
911883	Unexpected Dai	If you control no monsters: Special Summon 1 Level 4 or lower Normal Monster from the Deck.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
917796	Gagagatag	"All ""Gagaga"" monsters you currently control gains 500 ATK for each ""Gagaga"" monster you currently control, until your next Standby Phase. You can only activate 1 ""Gagagatag"" per turn."																
923596	Geargiarmor	"Once per turn: You can change this card to face-down Defense Position. When this card is flipped face-up: You can add 1 ""Geargia"" monster from your Deck to your hand, except ""Geargiarmor""."	Flip into face-down Defense Position	Add to hand														
967928	Penalty Game!	When your opponent has 4 cards in their hand, select and activate 1 of these effects: ● Your opponent cannot draw during their next Draw Phase. ● Your opponent cannot activate any Spell or Trap Cards this turn.	Your opponent cannot draw during their next Draw Phase	Your opponent cannot activate any Spell or Trap Cards this turn														
980973	Armed Dragon LV3	"During your Standby Phase, you can send this face-up card from the field to the Graveyard to Special Summon 1 ""Armed Dragon LV5"" from your hand or Deck."	Special Summon															
981540	Half Unbreak	Target 1 monster on the field; that monster cannot be destroyed by battle, also halve any battle damage you take from battles involving that monster. These changes last until the end of this turn.																
983995	Rebound	When your opponent activates a Spell Card, Trap Card, or monster effect that returns a card(s) from the field to the hand: Negate that effect, and if you do, send 1 card from your opponent's hand (at random) or from their side of the field to the Graveyard. When this Set card is destroyed by your opponent's card effect and sent to the Graveyard: Draw 1 card.	Draw															
984114	Expressroid	"When you Summon this card, you can add 2 ""roid"" monsters from your Graveyard to your hand, except ""Expressroid""."	Add card															
987311	D/D/D Gale King Alexander	"1 ""D/D"" Tuner + 1 or more non-Tuner monsters
If a ""D/D"" monster(s) is Normal or Special Summoned to your side of the field, except this card (except during the Damage Step): You can target 1 Level 4 or lower ""D/D"" monster in your Graveyard; Special Summon that target. You can only use this effect of ""D/D/D Gale King Alexander"" once per turn."																
1003028	Doggy Diver	"If your opponent controls a monster, and all face-up monsters you control (min. 1) are Level 4, you can Special Summon this card (from your hand). You can only Special Summon ""Doggy Diver"" once per turn this way. This card cannot be used as an Xyz Material for an Xyz Summon, except for the Xyz Summon of a Warrior-Type monster."																
1003840	Starlight Junktion	"You can Tribute 1 Tuner monster; Special Summon 1 ""Synchron"" monster from your Deck with a different Level than the Tributed monster. If you Special Summon a Synchro Monster from your Extra Deck during your opponent's turn: Target 1 card on the field; shuffle it into the Deck. You can only use each effect of ""Starlight Junktion"" once per turn."	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1005587	Void Trap Hole	When your opponent Special Summons a monster(s) with 2000 or more ATK: Negate the effects of one of those monsters with 2000 or more ATK, and if you do, destroy it.																
1033312	Painful Decision	"Send 1 Level 4 or lower Normal Monster from your Deck to the Graveyard, then add 1 monster with the same name from your Deck to your hand. You can only activate 1 ""Painful Decision"" per turn."																
1036974	Misfortune	Select 1 face-up monster your opponent controls. Inflict damage to your opponent equal to half that monster's original ATK. Your monsters cannot attack this turn.																
1045143	Geargiano Mk-II	"When this card is Normal or Flip Summoned: You can Special Summon 1 ""Geargia"" monster from your hand or Graveyard in face-up Defense Position."	Special Summon															
1050186	Satellarknight Unukalhai	"If this card is Summoned: You can send 1 ""tellarknight"" card from your Deck to the Graveyard, except ""Satellarknight Unukalhai"". You can only use this effect of ""Satellarknight Unukalhai"" once per turn."																
1050684	Scrapyard	"Add 1 ""Scrap"" Tuner monster from your Deck to your hand."																
1073952	Magic Planter	Send 1 face-up Continuous Trap Card you control to the Graveyard. Draw 2 cards.																
1082946	Pyro Clock of Destiny	Move the turn count forward by 1 turn. The turn in which this card is activated continues as normal.	Please select the card to move the turn count forward															
1102515	Dark Mimic LV3	"If this card is sent to the Graveyard by battle, the controller of this card draws 1 card. If this card was Special Summoned by the effect of ""Dark Mimic LV1"", they draw 2 cards instead."	Draw card															
1127737	Sargasso the D.D. Battlefield	When a player Xyz Summons a monster: That player takes 500 damage. During each End Phase, if the turn player controls an Xyz Monster, that player takes 500 damage.	Take damage															
1149109	Deck Lockdown	Neither player can add cards to their hand except by drawing, and cannot Special Summon Monster Cards from the Deck. Destroy this card during your 2nd Standby Phase after activation.																
1154611	Burgesstoma Leanchoilia	Target 1 banished card; return it to the Graveyard. When a Trap Card on the field is activated while this card is in your Graveyard: You can Special Summon this card as a Normal Monster (Aqua/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap Card.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.																
1184620	Kojikocy	A man-hunter with powerful arms that can crush boulders.																
1200843	Mirror of Yata	Equip only to a Spirit monster. The equipped monster does not have to have its effect that returns it to the hand activated. If it would be destroyed by battle, destroy this card instead.																
1224927	Malevolent Catastrophe	Activate only when your opponent's monster declares an attack. Destroy all Spell and Trap Cards on the field.																
1248895	Chain Destruction	When a monster(s) with 2000 or less ATK is Summoned: Target 1 of them; destroy all cards with that name in its controller's hand and Deck.																
1249315	Herald of Pure Light	"2 Level 2 monsters
You can detach 1 Xyz Material from this card, then target 1 monster in your Graveyard; add that target to your hand, then shuffle 1 card from your hand into the Deck. You can only use the effect of ""Herald of Pure Light"" once per turn."																
1264319	Gem-Knight Fusion	"Send, from your hand or your side of the field to the Graveyard, the Fusion Material Monsters that are listed on a ""Gem-Knight"" Fusion Monster Card, then Special Summon that Fusion Monster from the Extra Deck. (This Special Summon is treated as a Fusion Summon.) If this card is in the Graveyard: You can banish 1 ""Gem-Knight"" monster from your Graveyard; add this card to your hand."	Add card															
1281505	Vylon Tetra	If this card is sent from the Monster Card Zone to the Graveyard: You can pay 500 Life Points; equip it to 1 face-up monster you control. If the equipped monster would be destroyed, you can destroy this card instead.	Equip															
1287123	Prime Material Falcon	When an Effect Monster's effect to destroy a Spell or Trap Card(s) on the field is activated, you can send 1 card from your hand to the Graveyard to negate its activation and destroy the card.	Negate															
1315120	T.G. Striker	"If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand. During the End Phase of the turn this card on the field was destroyed and sent to the Graveyard, you can add 1 ""T.G."" monster from your Deck to your hand, except ""T.G. Striker""."	Search															
1347977	Mysterious Guard	FLIP: Return 1 face-up monster on the field to the top of its owner's Deck. Also, if there is a face-up Warrior-Type monster on your side of the field, you can return another face-up monster to its owner's hand.	Return another face-up monster to its owner's hand?															
1353770	Valhalla, Hall of the Fallen	Once per turn, if you control no monsters, you can Special Summon 1 Fairy-Type monster from your hand.	Special Summon															
1357146	Ronintoadin	"This card's name is treated as ""Des Frog"" while face-up on the field. You can remove from play 1 ""Frog"" monster in your Graveyard, except ""Frog the Jam"", to Special Summon this card from your Graveyard. This card cannot be used as a Synchro Material Monster."	Special Summon															
1362589	Photon Crusher	If this card attacks, it is changed to Defense Position at the end of the Damage Step.																
1371589	Vampire Koala	When this card inflicts Battle Damage to your opponent by battle with a monster: Gain Life Points equal to the amount of Battle Damage inflicted.	Recover															
1372887	Shared Ride	"After this card is activated; during this turn, each time your opponent adds a card(s) from their Deck or Graveyard to their hand, except by drawing, draw 1 card. You can only activate 1 ""Shared Ride"" per turn."																
1409474	Hazy Flame Sphynx	"Your opponent cannot target this card with card effects. You can declare 1 card type (Monster, Spell, or Trap); send the top card of your Deck to the Graveyard, then if it was the declared card type, you can Special Summon 1 FIRE monster from your hand or Graveyard. You can only use this effect of ""Hazy Flame Sphynx"" once per turn."	Declare Type	Special Summon 1 FIRE monster from your hand or Graveyard?														
1412158	Super Roboyarou	"""Roboyarou"" + ""Robolady""
You can Special Summon ""Super Robolady"" by returning this card from the field to the Fusion Deck. You cannot use this effect during the same turn this monster is Special Summoned. In addition, increase the ATK of this monster by 1000 points during the Damage Step when this monster battles with a monster."	Gain attack	Special Summon														
1426714	Number 48: Shadow Lich	"2 Level 3 monsters
Once per turn, during your opponent's turn: You can detach 1 Xyz Material from this card; Special Summon 1 ""Phantom Token"" (DARK/Fiend-Type/Level 1/ATK 500/DEF 500). (This is a Quick Effect.) While you control a ""Phantom Token"", your opponent cannot target this card for attacks. This card gains 500 ATK for each ""Phantom Token"" you control."	Token															
1426715	Phantom Token	"Special Summoned by the effect ""Number 48: Shadow Lich"""																
1434352	Chaos Necromancer	The ATK of this card becomes the number of Monster Cards in your Graveyard x 300 points.																
1435851	Dragon Treasure	A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.																
1474910	Bee List Soldier	"You can Tribute this card and 1 face-up Insect-Type monster, except ""Bee List Soldier"", to draw 2 cards."																
1475311	Allure of Darkness	Draw 2 cards, then banish 1 DARK monster from your hand, or, if you don't have any in your hand, send all cards in your hand to the Graveyard.																
1498130	Kagemusha of the Six Samurai	"When (exactly) 1 face-up ""Six Samurai"" monster you control is targeted by a Spell Card, Trap Card, Spell/Trap effect, or Effect Monster's effect, you can change the target to this face-up card on the field, instead."	Target this card															
1516510	Rune-Eyes Pendulum Dragon	"""Odd-Eyes Pendulum Dragon"" + 1 Spellcaster-Type monster
If this card was Fusion Summoned using a Pendulum Summoned monster(s) on the field as Fusion Material, it is unaffected by your opponent's card effects this turn. Apply the appropriate effect, depending on the original Level of the monster used as Fusion Material that was not ""Odd-Eyes Pendulum Dragon"".
● Level 4 or lower: This card can make up to 2 attacks on monsters during each Battle Phase.
● Level 5 or higher: This card can make up to 3 attacks on monsters during each Battle Phase."																
1525329	The Hunter with 7 Weapons	When this card is Normal Summoned, declare 1 Type of monster. When battling that Type of monster, increase the ATK of this card by 1000 points during Damage Calculation.																
1533292	R-Genex Magma	"When this card is Normal Summoned, you can add 1 Level 2 ""R-Genex"" monster from your Deck to your hand."	Search															
1539051	Space Gift	"Draw 1 card for each different ""Neo-Spacian"" name on the monsters you control."																
1546123	Cyber End Dragon	"""Cyber Dragon"" + ""Cyber Dragon"" + ""Cyber Dragon""
A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent."																
1546124	Cyber End Dragon	"""Cyber Dragon"" + ""Cyber Dragon"" + ""Cyber Dragon""
A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent."																
1557341	Rose, Warrior of Revenge	When this card inflicts Battle Damage to your opponent, inflict 300 damage to your opponent.	300 damage															
1557499	Silver Bow and Arrow	A Fairy-Type monster equipped with this card increases its ATK and DEF by 300 points.																
1571945	White Ninja	FLIP: Destroy 1 Defense Position monster.	Destroy															
1580833	Dinomist Stegosaurer	"Pendulum Scale = 3
[ Pendulum Effect ]
If another ""Dinomist"" card(s) you control would be destroyed by battle or an opponent's card effect, you can destroy this card instead.
----------------------------------------
[ Monster Effect ]
When another Pendulum Monster you control battles an opponent's monster, after damage calculation: You can destroy both monsters."	"Destroy ""Dinomist Stegosaurer"" instead?"															
1586457	Deep-Space Cruiser IX	You can Special Summon this card (from your hand) by sending 1 other Machine-Type monster from your hand to the Graveyard.																
1596508	Dimension Fortress Weapon	Cards cannot be sent from the Deck to the Graveyard.																
